"uswds-text","uswds-text 2","uswds-text href","uswds-text 3","uswds-text href 2","uswds-text 4","grid-row--title","usa-card__img href","usa-message__image src","usa-card__heading","clearfix","clearfix 2","clearfix href","clearfix 3","clearfix 4","clearfix href 2","clearfix 5","clearfix 6","clearfix 7","clearfix href 3","usa-button","usa-button href","usa-card__img href 2","usa-message__image src 2","usa-card__heading 2","clearfix 8","usa-button 2","usa-button href 2","usa-button 3","usa-button href 3"
"Well built, affordable housing is essential to the vitality of communities in rural America. Rural Development’s Single Family Housing Programs give families and individuals the opportunity to buy, build, or repair affordable homes located in  America. Eligibility for these loans, loan guarantees, and grants is based on  and varies according to the average median income for each area.","rural","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do","income","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do","Through the program options below, USDA Rural Development offers qualifying individuals and families the opportunity to purchase or build a new single family home with no money down, to repair their existing home, or to refinance their current mortgage under certain qualifying circumstances. There are also programs to assist non-profit entities in their efforts to provide new homes or home repair to qualifying individuals and families.","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","For Homebuyers","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans","https://www.rd.usda.gov/sites/default/files/styles/card/public/home_purchase470x207.jpg?itok=i3ZI_FVS","Single Family Housing Direct Loans","Purchase or build with no money down in eligible  areas","rural","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do?pageAction=sfp","Low or Very-Low","Income","https://www.rd.usda.gov/sites/default/files/RD-DirectLimitMap.pdf","Typically 33-year term with payment assistance available","Apply directly with","Rural Development","https://www.rd.usda.gov/about-rd/state-offices","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program","https://www.rd.usda.gov/sites/default/files/styles/card/public/guaranteed470x207.jpg?itok=C6U-2YiQ","Single Family Housing Guaranteed Loan Program","Purchase or  with no money down in eligible  areas","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program","",""
"","","","","","","For Homeowners","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants","https://www.rd.usda.gov/sites/default/files/styles/card/public/home-repair.jpg?itok=vphIRfLr","Home Repair Loans and Grants","Very low  homeowners in eligible  areas","income","https://www.rd.usda.gov/sites/default/files/RD-DirectLimitMap.pdf","Repair, improve, or modernize your home","rural","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do?pageAction=sfp","Apply directly with","Grants possible for age 62 and over","Rural Development","https://www.rd.usda.gov/about-rd/offices/state-offices","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-rural-disaster-home-repair-grants","https://www.rd.usda.gov/sites/default/files/styles/card/public/SFH3.jpeg?itok=t8FN4xIj","Single Family Housing Rural Disaster Home Repair Grants","It provides grants to very-low and low-income homeowners to repair homes damaged in Presidentially Declared Disaster Areas since 2022.","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-rural-disaster-home-repair-grants","",""
"","","","","","","For Lending Partners","https://www.rd.usda.gov/resources/usda-linc-training-resource-library","https://www.rd.usda.gov/sites/default/files/styles/card/public/linc-library.jpg?itok=G74ofw7_","LINC Training & Resource Library","","","","","","","","","","","More Information","https://www.rd.usda.gov/resources/usda-linc-training-resource-library","","","","Access training, forms, guides, and more.","","","",""
"For Non-Profits, Municipalities, and Federally Recognized Tribes","","","","","","For Non-Profits, Municipalities, and Federally Recognized Tribes","https://www.rd.usda.gov/programs-services/single-family-housing-programs/mutual-self-help-housing-technical-assistance-grants","https://www.rd.usda.gov/sites/default/files/styles/card/public/self-help.jpg?itok=ryQyJ1P3","Mutual Self Help Grants","For organizations purchasing and developing sites for eligible households.","For organizations administering the repair and rehabilitation of eligible housing.","","","","","","","","","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/mutual-self-help-housing-technical-assistance-grants","https://www.rd.usda.gov/programs-services/single-family-housing-programs/rural-housing-site-loans","https://www.rd.usda.gov/sites/default/files/styles/card/public/site-loans.jpg?itok=60mkbhzg","Rural Housing Site Loans","For organizations administering self-help new construction or rehabilitation projects.","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/rural-housing-site-loans","More Information","https://www.rd.usda.gov/programs-services/single-family-housing-programs/housing-preservation-grants"
"The links here provide access to areas within our USDA Eligibility Site, which offers information and guidance regarding both income and program eligible area mapping. These tools should provide all of the information you need to determine your potential program eligibility, however, we still encourage you to contact us if you have any questions or if you desire further information or clarification.","","","","","","Tools & Resources","","","","","","","","","","","","","","Direct Program Self-Assessment Tool","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do?pageAction=assessmentType","","","","","Guaranteed Program Eligibility Tool","https://eligibility.sc.egov.usda.gov/eligibility/incomeEligibilityAction.do?pageAction=state","Search Rural Eligibility Tool","https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do?pageAction=sfp"
"For the Single Family Housing Direct Home Loan Program, the Home Repair Loan and Grant program, and all nonprofit and Tribal programs, please  to locate your state or local office for assistance.","use this link","https://www.rd.usda.gov/about-rd/state-offices","For the Single Family Housing Guaranteed Loan Program, please  to select the participating lender of your choice.","https://www.rd.usda.gov/page/sfh-guaranteed-lender","use this link","Contact Us","","","","","","","","","","","","","","State Offices","https://www.rd.usda.gov/about-rd/state-offices","","","","","","","",""
