"usa-card__heading","usa-card__heading href","clearfix"
"Community Facilities Direct Loans & Grants","https://www.rd.usda.gov/programs-services/community-facilities/community-facilities-direct-loan-grant-program","This program provides affordable funding to develop essential community facilities in rural areas. An essential community facility is defined as a facility that provides an essential service to the local community for the orderly development of the community in a primarily rural area, and does not include private, commercial or business undertakings."
"Community Facilities Loan Guarantees","https://www.rd.usda.gov/programs-services/community-facilities/community-facilities-guaranteed-loan-program","This program provides loan guarantees to eligible lenders to develop essential community facilities in rural areas. An essential community facility is defined as a public improvement, operated on a non-profit basis, needed for the orderly development of a rural community where the rural community is a city or town, or its equivalent county or multi-county area.  The term “facility” refers to both the physical structure financed, and the resulting service provided to rural residents or rural businesses."
"Community Facilities Technical Assistance and Training Grant","https://www.rd.usda.gov/programs-services/community-facilities/community-facilities-technical-assistance-and-training-grant","This program provides technical assistance and training grants to eligible public bodies and private, nonprofit organizations (such as states, counties, cities, townships, incorporated towns, villages, boroughs, authorities, districts, and Tribes located on Federal or state reservations) to provide technical assistance and/or training in support of essential community facilities programs."
"Rural Community Development Initiative Grants","https://www.rd.usda.gov/programs-services/community-facilities/rural-community-development-initiative-grants","RCDI grants are awarded to help non-profit housing and community development organizations, low-income rural communities and federally recognized tribes support housing, community facilities and community and economic development projects in rural areas."
"Tribal College Initiative Grants","https://www.rd.usda.gov/programs-services/community-facilities/tribal-college-initiative-grants","This program provides funding to 1994 Land Grant Institutions (Tribal Colleges) to make capital improvements to their educational facilities and to purchase equipment."
